"기준년월","HSK품목코드","수출입구분코드","수산물수출입품목명","수출입구분명","당월수출입중량(킬로그램)","당월수출입미화금액(달러)","당해누계수출입중량(킬로그램)","당해누계수출입미화금액(달러)","데이터기준일자"
"2023-04","0106199000","E","기타 포유동물","수출","105","10704","1004","64833","2023-04-30"
"2023-04","0106201000","E","뱀","수출","2","450","26","7451","2023-04-30"
"2023-04","0106203000","E","거북","수출","3","140","19","22507","2023-04-30"
"2023-04","0106209000","E","기타 파충류","수출","207","198601","536","640934","2023-04-30"
"2023-04","0301190000","E","기타(활어)(민물의 것)","수출","8","146","1980","98891","2023-04-30"
"2023-04","0301929090","E","뱀장어(앵궐라종)","수출","30","816","30","816","2023-04-30"
"2023-04","0301992000","E","방어(활어)","수출","0","0","127","4433","2023-04-30"
"2023-04","0301994091","E","돔(기타/ 참돔)","수출","300","3524","1325","15412","2023-04-30"
"2023-04","0301995000","E","붕장어(활어)","수출","134392","1467746","509005","5443747","2023-04-30"
"2023-04","0301996000","E","갯장어(sharp toothed eel/활어)","수출","427","13702","427","13702","2023-04-30"
"2023-04","0301998000","E","넙치(활어)","수출","179244","3169167","737650","13538187","2023-04-30"
"2023-04","0301999020","E","복어(활어)","수출","0","0","2508","40033","2023-04-30"
"2023-04","0301999040","E","볼락(적어포함/활어)","수출","855","23835","4870","132306","2023-04-30"
"2023-04","0301999060","E","숭어(활어)","수출","37","359","167","2279","2023-04-30"
"2023-04","0301999070","E","미꾸라지(활어)","수출","480","11637","2651","58765","2023-04-30"
"2023-04","0301999099","E","기타어류(활어)","수출","3752","138934","23252","879186","2023-04-30"
"2023-04","0302140000","E","대서양 연어(신선 또는 냉장)(살모 살라) 및 다뉴브 연어(후코 후코)","수출","938","26395","3544","98767","2023-04-30"
"2023-04","0302210000","E","넙치(간장/ 어란제외/신선/ 냉장/피레트/ 어육제외)","수출","9352","204134","40529","859117","2023-04-30"
"2023-04","0302220000","E","가자미(간장/ 어란제외/신선/ 냉장/피레트/어육제외)","수출","335","7197","611","9425","2023-04-30"
"2023-04","0302240000","E","터벗(신선 또는 냉장)(프세타 맥시마)","수출","2139","76258","11792","422915","2023-04-30"
"2023-04","0302290000","E","기타 넙치류(간장/ 어란제외/신선/ 냉장/피레트/ 어육제외)","수출","126524","297563","219042","575802","2023-04-30"
"2023-04","0302340000","E","눈다랑어(터너스오베서스/신선/냉장)","수출","0","0","30","267","2023-04-30"
"2023-04","0302352000","E","태평양 참다랑어(신선 또는 냉장)(터너스 오리엔탈리스)","수출","262","8461","384","12249","2023-04-30"
"2023-04","0302390000","E","기타(신선/냉장)","수출","0","0","210620","1308236","2023-04-30"
"2023-04","0302410000","E","청어(신선 또는 냉장)(클루페아 하렌구스/클루페아 팔라시)","수출","72","1497","3481","3971","2023-04-30"
"2023-04","0302420000","E","멸치(신선 또는 냉장)(엔그라울리스종)","수출","0","0","157","2427","2023-04-30"
"2023-04","0302430000","E","정어리(신선 또는 냉장)(사르디나 필차르두스/사르디노프스종)","수출","1300","2527","1336","2700","2023-04-30"
"2023-04","0302440000","E","고등어(신선 또는 냉장)(스콤버-스콤브루스/오스트랄시쿠스/자포니쿠스))","수출","11","95","15955","103528","2023-04-30"
"2023-04","0302450000","E","전갱이(신선 또는 냉장)(트라커러스종)","수출","1","1","122811","264939","2023-04-30"
"2023-04","0302491000","E","삼치[스콤버로모러스(Scomberomorus)종]","수출","17701","101883","319907","1944236","2023-04-30"
"2023-04","0302492000","E","병어[팜푸스(Pampus)종]","수출","16","447","206","3008","2023-04-30"
"2023-04","0302493000","E","꽁치[콜로라비스 사이라(Cololabis saira)]","수출","0","0","18","707","2023-04-30"
"2023-04","0302499000","E","기타","수출","674","2351","674","2351","2023-04-30"
"2023-04","0302720000","E","메기(신선 또는 냉장)(판가시우스종/실루러스종/클라리아스종/익타루러스종)","수출","0","0","287","1821","2023-04-30"
"2023-04","0302740000","E","뱀장어(신선 또는 냉장)(앵귈라종)","수출","18","907","63","2420","2023-04-30"
"2023-04","0302790000","E","기타(신선 또는 냉장)(틸라피아/메기/잉어/뱀장어 외 기타)","수출","0","0","4","60","2023-04-30"
"2023-04","0302820000","E","가오리와 홍어(라지대과)(신선 또는 냉장)","수출","8","340","673","10718","2023-04-30"
"2023-04","0302840000","E","농어(냉동)(디센트라르쿠스종)","수출","0","0","168","3529","2023-04-30"
"2023-04","0302850000","E","돔(신선 또는 냉장)(스파리대과)","수출","24","295","131","1978","2023-04-30"
"2023-04","0302891000","E","방어(신선 또는 냉장)","수출","222","6164","388858","1028220","2023-04-30"
"2023-04","0302892000","E","갈치(신선 또는 냉장)","수출","84","2309","13836","224139","2023-04-30"
"2023-04","0302893000","E","붕장어(신선 또는 냉장)","수출","2048","23618","6429","78533","2023-04-30"
"2023-04","0302895000","E","꽁치(신선 또는 냉장)(학꽁치를 포함한다)","수출","0","0","8472","87338","2023-04-30"
"2023-04","0302896000","E","돔(신선 또는 냉장)(스파리대과를 제외한다)","수출","10916","26734","19348","60456","2023-04-30"
"2023-04","0302899020","E","복어(신선 또는 냉장)","수출","0","0","15","342","2023-04-30"
"2023-04","0302899040","E","아귀(신선 또는 냉장)","수출","610","2960","94355","435651","2023-04-30"
"2023-04","0302899090","E","기타(신선 또는 냉장)(삼치/복어/병어/아귀 외 기타)","수출","57276","1320338","231887","4361645","2023-04-30"
